t,x,y,vx,vy
0.0,0.0,1.8,24.574561328669756,17.20729309053138
0.002,0.04913683346963943,1.8343863711682467,24.56227495698089,17.179081683113413
0.004,0.0982491110808123,1.8687163411388867,24.550005464628857,17.15089188535012
0.006,0.14733686655877232,1.9029899530858188,24.537752818206705,17.12272365184939
0.008,0.19640013356203723,1.9372072500922695,24.525516984385415,17.09457693733154
0.01,0.2454389456825445,1.9713682751510184,24.513297929913648,17.06645169662896
0.012,0.2944533364458064,2.0054730711646216,24.501095621617488,17.038347884685795
0.014,0.3434433393110646,2.039521680945635,24.488910026400188,17.010265456557605
0.016,0.3924089876714441,2.073514147216837,24.476741111241928,16.98220436741103
0.018000000000000002,0.44135031485410714,2.107450512611449,24.464588843199557,16.95416457252346
0.020000000000000004,0.490267354120406,2.141330819673359,24.45245318940634,16.926146027282716
0.022000000000000006,0.5391601386660358,2.17515511085734,24.440334117071718,16.898148687186705
0.024000000000000007,0.5880287016211865,2.2089234285292707,24.428231593481048,16.870172507843105
0.02600000000000001,0.6368730760506943,2.2426358149663552,24.416145585995366,16.842217444969037
0.02800000000000001,0.6856932949541932,2.2762923123573406,24.404076062051146,16.814283454390736
0.030000000000000013,0.7344893912662652,2.3098929628027354,24.392022989160036,16.786370492043236
0.032000000000000015,0.7832613978565908,2.3434378083150267,24.379986334908633,16.758478513970044
0.034000000000000016,0.832009347530098,2.3769268908188965,24.367966066958225,16.730607476322813
0.03600000000000002,0.8807332730271125,2.4103602521514382,24.35596215304456,16.70275733536103
0.03800000000000002,0.9294332070235051,2.4437379340623724,24.343974560977593,16.674928047451704
0.04000000000000002,0.978109182130841,2.47705997821426,24.332003258641258,16.64711956906903
0.04200000000000002,1.0267612308965266,2.510326426182717,24.32004821399322,16.619331856794094
0.044000000000000025,1.0753893858039578,2.5435373194566298,24.308109395064637,16.591564867314545
0.04600000000000003,1.1239936792726655,2.576692699438365,24.296186769959917,16.563818557424288
0.04800000000000003,1.1725741436584627,2.6097926074439832,24.28428030685649,16.53609288402317
0.05000000000000003,1.2211308112535901,2.642837084703451,24.272389974004575,16.508387804116666
0.05200000000000003,1.2696637142868616,2.6758261723608507,24.260515739726927,16.48070327481558
0.054000000000000034,1.3181728849238086,2.7087599114745915,24.24865757241862,16.45303925333572
0.056000000000000036,1.3666583552668248,2.7416383430176188,24.2368154405468,16.42539569699761
0.05800000000000004,1.4151201573553105,2.7744615078776236,24.22498931265046,16.39777256322617
0.06000000000000004,1.4635583231658151,2.807229446857251,24.213179157340214,16.370169809550415
0.06200000000000004,1.5119728846121812,2.839942200674308,24.201384943298045,16.34258739360315
0.06400000000000004,1.560363873545686,2.8725998099619705,24.189606639277095,16.315025273120675
0.06600000000000004,1.6087313217551842,2.9052023152689905,24.177844214101423,16.28748340594247
0.06800000000000005,1.6570752609672494,2.937749757059902,24.166097636665786,16.259961750010916
0.07000000000000005,1.7053957228463152,2.9702421757152258,24.154366875935406,16.232460263370967
0.07200000000000005,1.753692738994816,3.0026796115316756,24.142651900945737,16.20497890416988
0.07400000000000005,1.8019663409533269,3.0350621047223614,24.130952680802253,16.177517630656904
0.07600000000000005,1.850216560200704,3.0673896954169932,24.119269184680206,16.150076401182986
0.07800000000000006,1.898443428154223,3.099662423662085,24.107601381824416,16.122655174200474
0.08000000000000006,1.9466469761697196,3.1318803294211555,24.095949241549043,16.095253908262837
0.08200000000000006,1.9948272355417263,3.1640434525749326,24.084312733237354,16.067872562024355
0.08400000000000006,2.0429842375036107,3.1961518329215526,24.072691826341515,16.04051109423984
0.08600000000000006,2.0911180132277143,3.2282055101767617,24.061086490382362,16.013169463764342
0.08800000000000006,2.1392285938254885,3.2602045239741164,24.04949669494918,15.985847629552861
0.09000000000000007,2.1873160103476312,3.2921489138651827,24.03792240969949,15.958545550660059
0.09200000000000007,2.2353802937842238,3.3240387193197356,24.02636360435882,15.931263186239974
0.09400000000000007,2.283421475064866,3.355873979725957,24.014820248720493,15.904000495545738
0.09600000000000007,2.331439585058812,3.3876547343906345,24.003292312645414,15.876757437929282
0.09800000000000007,2.3794346545751064,3.419381022539357,23.99177976606184,15.849533972841067
0.10000000000000007,2.4274067143627156,3.451052883316714,23.980282578965177,15.822330059829792
0.10200000000000008,2.475355795110665,3.482670355786489,23.96880072141776,15.795145658542115
0.10400000000000008,2.52328192744817,3.5142334789318577,23.95733416354864,15.767980728722375
0.10600000000000008,2.571185141944773,3.5457422916555816,23.945882875553366,15.74083523021231
0.10800000000000008,2.619065469110472,3.577196832780203,23.934446827693776,15.713709122950787
0.11000000000000008,2.6669229393958553,3.608597141048238,23.923025990297788,15.686602366973514
0.11200000000000009,2.714757583192233,3.639943255122372,23.911620333759185,15.65951492241277
0.11400000000000009,2.762569430831768,3.67123521358565,23.9002298285374,15.632446749497134
0.11600000000000009,2.8103585125876083,3.7024730549416707,23.888854445157317,15.605397808551208
0.11800000000000009,2.8581248586740164,3.7336568176147784,23.877494154209053,15.57836805999534
0.12000000000000009,2.9058684992465005,3.764786539950253,23.866148926347755,15.55135746434536
0.1220000000000001,2.9535894644019436,3.7958622602145016,23.85481873229339,15.524365982212306
0.1240000000000001,3.001287784178733,3.826884016595248,23.843503542830536,15.497393574302155
0.12600000000000008,3.0489634885568906,3.857851847201723,23.832203328808184,15.470440201415554
0.12800000000000009,3.0966166074581998,3.8887657900648533,23.820918061139526,15.443505824447557
0.1300000000000001,3.144247170746334,3.9196258831374493,23.809647710801755,15.416590404387351
0.1320000000000001,3.1918552082269858,3.950432164294394,23.798392248835853,15.389693902317997
